tipo,numero,folder_id
estac,22,1K8iuaHN3uAcPWa9y7uHjoDMl_It3qBzr
estac,23,1f3aZKIR4DQ6b7i3hqwRtcl_FbePeT-ZL
estac,24,149lTqKJhVweG815QJZVC41E3NDB6WjJ-
estac,25,1Raqo1Xr_DYrc0XUb-YQ4kbcm9Gut9JWN
estac,26,1z5yGMmcKcfNIkrL91Qmkbo7CxUP5c74b
estac,27,1x1j4ES4-miFXEcIgwkRwfwhM3UpT02tk
estac,28,1VUmMY2Fg0F_MV5fO_FBQ4KU8i1DvcazG
estac,29,17tP-kWEywGyGnwEV3N4bD_-FyJ00KJYp
estac,30,1eZmKZOwLKx6jF8VbAo_z4QIOIigvH6BN
estac,31,1idUEjnNtvKNdvDFjyJeear3f4fBDMHzC
estac,32,1XH0CfzAuHLHOuRS3A9_uousyti0-Tbgc
estac,33,1xfUNd9y7Q8eR83ExOjm19j4NmWKT6OHf
estac,34,1EptuUl9ZWItY-VsAQiW2oSPFxPoj-Q_e
estac,35,1gpNUwyymsQNAM4HlkWZGk1I2yeGPnOdI
estac,36,1ryoxJJCJ_XSB1fZmTHdUotiNHjnvQOOK
estac,37,1ickVQLvNPgshoX_-4YQ0yJG0cSsi9wOv
estac,38,1xcoqI48QuBji7UZZZ9lBXsjdSAMZHWRX
estac,39,1kHJLIPMAQoV7wLcXZZW7Uw1PVgZEaSOK
estac,40,1SnPHJs49-EBfAY8bY4GeddvKr_cmfeJk
estac,41,1BV7tAbjlWXY8BlTg4xvZbOp3cEUTZ_i1
estac,42,1Rl07gjN_xumLBcmlVcPqBAmX-VXTFoSw
estac,43,110OIBuCo-AIIP6VdH9qjpjFUUCBFE3E1
estac,44,1W7lEcqw6QM7bXKJqUpuYZWxxC5eYJXdR
estac,45,1IxXWPONrHJd2HsOEIGpxTPDOWj3hRoXI
estac,47,1XmmhCOmvN9U_-vJFaG8miq16wQldb07W
estac,48,1Jx2x6eiAXwF2UOLq0-m_26QvRl3W1w9l
estac,49,1mye3aT-DVINt-AMf3fHXK1Y2cqJVmju5
estac,50,1Ejelh0WFEKkS_1Afsrz48-8ZZqPrvXSc
estac,51,15tnzMa4k6saj6VTjOEVne2ffbCW_NRS9
estac,52,1uQOcYFS_u3Mb12xKEBFgLA42-TiICiet
estac,53,1Q-LI8FktYcz6Hh5h_GFn27HuOmrZIcc5
estac,54,1kAktK39smAwEHCL4gmCFuwJn1SFkJkJx
estac,55,1Z6uWmTTrbQSuU2EulrqEeSLgu96lSEH0
bodega,2,1FFfc06p0EIyB16PgN9yE169MLWFjcpN2
bodega,3,1HiPgYYcafgWtzMeHcW8eFosOQFlICc0i
bodega,4,1rZmQKve7LgmLKfDFjLbr7YLUSV7ZHb4W
bodega,5,1DoprYls9mkojiH7cATFtwzkaxn3ISo-E
bodega,6,1zJUb2tvDtH38XYx8hZhY95xxQm8SKtq4
bodega,7,1FuJWqikoz82CJ9IkRHMQ122GrbE0PYxV
bodega,8,1F5uzG2apihY4qEhTiVN1T3mccwqoWZoq
bodega,48,17BZ_3g8PSmvJ41mlL1jLhugUFp4TbxE5
